"","id","log.cort","cort"
"1","alls",3.69089922024868,40.0808722894524
"2","brgr",3.14526965548958,23.2259376305166
"3","chco",3.28483949572031,26.704697752613
"4","cten",3.45939329981018,31.7976790034706
"5","fxtr",4.38201324198119,79.9989285917589
"6","gala",3.6692410035258,39.2221251053248
"7","gofa",3.03195463062334,20.7377275975258
"8","goof",2.3276327773434,10.2536401317453
"9","keng",3.9443972390629,51.6451990197778
"10","lugi",3.52869588254976,34.0794949582032
"11","lyco",3.94572715543346,51.7139285075203
"12","maa",4.50387165942196,90.3663225135938
"13","merl",3.26883873345225,26.2808025991416
"14","neon",3.64236061845882,38.1818632356181
"15","odd",4.02307358874837,55.8725714914196
"16","pbut",4.20846980519666,67.25355000026
"17","pces",3.54287842334911,34.5662724976693
"18","reb",3.83952128856685,46.5032074933881
"19","roos",3.44533869563931,31.3539010780655
"20","styr",3.78578552243342,44.0702751554088
"21","tast",3.15054114600991,23.348696216649
"22","tato",4.5732634687409,96.8596931253229
"23","tnks",3.47113965988048,32.1733882787337
"24","twst",3.19906527378827,24.5096097119519
"25","unag",3.20675612065908,24.6988360899449
"26","wrth",3.50175137527264,33.1735003598245
