"","sample.id","hy.id","kay.code","darting.date","mom.gps.collar","mat.care.fas","mat.care.sessions","cub.sex","age.at.darting","grooming..blup","blup.tertile","mom.id","mom.rank","cub.dob","notes","n.fec.corticost","mean.fec.corticost","sd.fec.corticost","age.mon"
"1",910,"alls",673,2013-02-28,1,1,NA,"f","sub",NA,NA,"hex",-0.756097561,2011-11-16,"21 days gps starting when cub is about 8 monts",2,77.63,94.4,15.4
"2",915,"bnt",690,2013-05-07,0,1,NA,"f","sub",NA,NA,"mono",0.219512195,2011-09-25,NA,NA,NA,NA,19.4
"3",955,"brgr",659,2013-05-28,0,0,NA,"f","sub",NA,NA,"cen",0.609756098,2011-10-30,"check quality…failed luma",7,28.64,15.81,18.9
"4",956,"chco",694,2015-01-20,0,1,NA,"f","sub",0.013820274,2,"ffl",-0.347560976,2013-01-22,NA,10,34.96,21.99,23.9
"5",NA,"cten",573,2015-08-26,0,1,NA,"f","sub",0.723156634,3,"amaz",0.902439024,2013-12-20,"kevin extracted…no sample id yet",3,15.78,7.29,20.2
"6",1278,"decm",520,2014-07-12,0,1,NA,"f","sub",-0.133316066,1,"buar",0.951219512,2013-01-12,NA,2,16,16.28,17.9
"7",1124,"fxtr",664,2013-05-08,0,0,NA,"f","sub",NA,NA,"dra",-0.219512195,2011-10-16,NA,2,179.1,33.25,18.7
"8",1224,"gala",658,2013-09-04,1,1,NA,"f","sub",-0.577944125,1,"hel",1,2012-01-06,NA,4,51.87,21.59,19.9
"9",1005,"gofa",574,2015-05-04,0,0,NA,"f","sub",NA,NA,"bora",NA,2013-12-08,"check quality…failed luma",4,14,5.21,16.8
"10",1313,"goof",519,2014-09-19,1,1,NA,"f","sub",-0.090711857,2,"juno",0.853658537,2012-11-12,NA,5,10.52,12.14,22.2
"11",918,"gsmk",660,2013-05-24,0,1,NA,"f","sub",NA,NA,"sbl",0.12195122,2011-12-02,NA,2,143.08,96.17,17.7
"12",986,"keng",576,2015-05-05,0,0,NA,"f","sub",NA,NA,"aqua",0.5,2014-03-17,"check quality…failed luma",5,112.04,101.48,13.6
"13",983,"lugi",565,2014-12-08,0,1,NA,"f","sub",-0.566872013,1,"cart",-1,2013-08-18,NA,2,36.01,12.72,15.7
"14",987,"lyco",540,2015-03-01,1,1,NA,"f","sub",0.202494532,3,"bab",-0.247560976,2013-03-26,NA,7,88.28,101.65,23.2
"15",967,"maa",701,2014-07-30,0,1,NA,"f","sub",NA,NA,"art",0.073170732,2012-10-12,"no blup but an fas",3,221.69,94.24,21.6
"16",959,"merl",533,2014-08-04,1,1,NA,"f","sub",NA,NA,"hex",-0.747560976,2013-07-21,"47 days gps  starting when cub is < 1month old",5,24.95,11.64,12.5
"17",501,"neon",652,2012-06-15,0,1,NA,"f","sub",-0.019703854,2,"yog",-0.555555556,2010-12-26,NA,5,105.26,149.96,17.6
"18",1279,"odd",698,2013-06-25,1,1,NA,"f","sub",NA,NA,"mgta",0.463414634,2012-01-03,"150 days gps starting when cub ~ 4month",1,191.13,NA,17.7
"19",1158,"pbut",541,2014-06-08,0,0,NA,"f","sub",NA,NA,"parc",0.202439024,2013-07-04,NA,2,179.04,10.25,11.1
"20",1297,"pces",546,2015-08-09,0,0,NA,"f","sub",NA,NA,"twst",NA,2013-12-02,"orig selection from dna_3, samp id 961, missing from box",4,40.36,23.93,20.2
"21",1242,"reb",671,2013-09-14,0,1,NA,"f","sub",NA,NA,"ali",-0.03030303,2011-06-16,NA,1,83.15,NA,27
"22",282,"roos",363,2008-10-13,0,1,NA,"f","sub",NA,NA,"nav",-0.647058824,2007-03-02,NA,18,80.2,66.48,19.4
"23",NA,"srg",940,2016-06-01,0,1,NA,"f","sub",-0.09999298,2,"baez",-0.697560976,2015-03-29,"rank from 2014",NA,NA,NA,14.1
"24",1274,"styr",675,2013-06-01,1,1,NA,"f","sub",NA,NA,"pan",0.707317073,2011-10-16,NA,9,80.73,63.28,19.5
"25",948,"tast",579,2015-08-02,0,0,NA,"f","sub",NA,NA,"gel",-0.047560976,2013-09-10,"orig selection from dna_3, samp id 948, missing from box",4,17.11,7.27,22.7
"26",1221,"tato",524,2014-02-19,0,0,NA,"f","sub",NA,NA,"loki",0.756097561,2012-11-25,NA,5,222.01,293.22,14.8
"27",949,"tnks",555,2014-08-08,0,1,NA,"f","sub",0.436746517,3,"alfe",0,2013-03-15,NA,1,19.62,NA,16.8
"28",507,"twst",627,2012-05-07,0,1,NA,"f","sub",0.521278867,3,"adon",0.393939394,2011-03-03,NA,9,51.1,43.98,14.2
"29",NA,"unag",589,2016-06-04,0,0,NA,"f","adult",NA,NA,"hrpy",0.65,2014-03-12,"27months",1,19.78,NA,26.8
"30",1220,"wrth",545,2014-07-12,0,1,NA,"f","sub",-0.183932286,1,"arg",-0.658536585,2012-10-28,NA,3,100.49,147.61,20.4
